ID	ALIGNMENT	COGID	COGIDS	CONCEPT	DOCULECT	FORM	TOKENS	VALUE	MORPHEMES	NOTE
1894	kʰ.l ɔ ³³	186	2243	mat	NorthernPwo	khlɔ³³	kʰ.l ɔ ³³	khlɔ³³		
1895	w ai Ø/ɦ.¹¹	187	2255	milipede	NorthernPwo	wai¹¹̈	w ai Ø/ɦ.¹¹	wai¹¹ ̈		
1896	w ei ⁵⁵	188	2279	mole	NorthernPwo	wei⁵⁵	w ei ⁵⁵	wei⁵⁵	mole	
1897	kʰ au.ʔ ⁴⁵	190	2302	monitor lizard (land~)	NorthernPwo	khauɁ⁴⁵	kʰ au.ʔ ⁴⁵	khauɁ⁴⁵		
1898	l a ⁵⁵	193	2328	moon, month	NorthernPwo	la⁵⁵	l a ⁵⁵	la⁵⁵		
1899	j ou !Ø/ɦ.¹¹	195	2349	mouse, rat	NorthernPwo	jou¹¹	j ou !Ø/ɦ.¹¹	jou¹¹	muroid	
1900	m ei ³³	197	2372	nail	NorthernPwo	mei³³	m ei ³³	mei³³		
1901	m ãi ⁵⁵	198	2388	name	NorthernPwo	mãi⁵⁵	m ãi ⁵⁵	mãi⁵⁵		
1902	ʔ ãi ³³	199	2401	narrow	NorthernPwo	Ɂãi³³	ʔ ãi ³³	Ɂãi³³		
1903	d i ⁵⁵	200	2413	navel, umbilical cord	NorthernPwo	di⁵⁵	d i ⁵⁵	di⁵⁵	navel	
1904	s ɛ̃ ³⁵	202	2442	new	NorthernPwo	sɛ³̃⁵	s ɛ̃ ³⁵	sɛ³̃ ⁵		!borrowing
1905	kʰ.w i ³⁵	203	2454	nine	NorthernPwo	khwi³⁵	kʰ.w i ³⁵	khwi³⁵		
1906	n i ɦ.¹¹	204	2468	obtain, receive, take, get	NorthernPwo	ni¹¹̈	n i ɦ.¹¹	ni¹¹ ̈		
1907	l ei ⁵⁵	206	2493	old (of things)	NorthernPwo	lei⁵⁵	l ei ⁵⁵	lei⁵⁵		
1908	l a.ʔ ²¹	207	2506	one	NorthernPwo	laɁ²¹	l a.ʔ ²¹	laɁ²¹~la¹¹		
1909	j ɛ ³⁵	210	2539	palm (of the hand)	NorthernPwo	jɛ³⁵	j ɛ ³⁵	jɛ³⁵		
1910	j ũ/u ¹¹	211	2547	pangolin, anteater	NorthernPwo	jũ¹¹	j ũ/u ¹¹	jũ¹¹		
1911	k ei ³³	212	2559	parrot, parakeet	NorthernPwo	kei³³	k ei ³³	kei³³		
1912	!s/p.!j/ɣ a.ʔ ²¹	214	2579	peacock	NorthernPwo	sjaɁ²¹	!s/p.!j/ɣ a.ʔ ²¹	sjaɁ²¹		
1913	pʰ ɔ̃ ⁵⁵	215	2590	pen, coop	NorthernPwo	phɔ̃⁵⁵	pʰ ɔ̃ ⁵⁵	phɔ̃⁵⁵		
1914	tʰ i ³³	216	2604	penis	NorthernPwo	thi³³	tʰ i ³³	thi³³		
1915	ɣ ai.ʔ ²¹	217	2616	pheasant	NorthernPwo	ɣaiɁ²¹	ɣ ai.ʔ ²¹	ɣaiɁ²¹		
1916	tʰ o.ʔ ⁴⁵	218	315	pig	NorthernPwo	thoɁ⁴⁵	tʰ o.ʔ ⁴⁵	thoɁ⁴⁵	pig	
1917	!p/pʰ.Ø/l ãu ³³	219	2637	pile	NorthernPwo	pãu³³	!p/pʰ.Ø/l ãu ³³	pãu³³		
1918	c u ⁵⁵	220	2649	pointed (as of needles), sharp point	NorthernPwo	cu⁵⁵	c u ⁵⁵	cu⁵⁵		
1919	tʰ ɑ̃ ³³	221	2662	pole	NorthernPwo	thɑ̃³³	tʰ ɑ̃ ³³	thɑ̃³³		
1920	pʰ ɑ̃ ⁵⁵	224	2693	pot	NorthernPwo	phɑ̃⁵⁵	pʰ ɑ̃ ⁵⁵	phɑ̃⁵⁵		
1921	tʰ e.ʔ ⁴⁵	226	2718	pull up	NorthernPwo	theɁ⁴⁵	tʰ e.ʔ ⁴⁵	theɁ⁴⁵		
1922	l ɑ̃ ɦ.¹¹	227	2725	pumpkin (ash~)	NorthernPwo	lɑ̃¹¹̈	l ɑ̃ ɦ.¹¹	lɑ̃¹¹ ̈		
1923	cʰ ɛ̃ ³³	228	2735	push	NorthernPwo	chɛ̃³³	cʰ ɛ̃ ³³	chɛ̃³³		
1924	s o.ʔ ⁴⁵	229	2755	put on, wear	NorthernPwo	soɁ⁴⁵	s o.ʔ ⁴⁵	soɁ⁴⁵		
1925	l ai.ʔ ²¹	230	2744	put on (a necklace), wear	NorthernPwo	laiɁ²¹	l ai.ʔ ²¹	laiɁ²¹		
1926	l ãi ³³	231	2769	put out (the tongue)	NorthernPwo	lãi³³	l ãi ³³	lãi³³		
1927	pʰ u ³³ + w ei ³³	232	2779 2778	quail	NorthernPwo	phu³³wei³³	pʰ u ³³ + w ei ³³	phu³³wei³³		
1928	p a ³³ + d ɛ ⁵⁵	233	2792 2791	rabbit, hare	NorthernPwo	pa³³dɛ⁵⁵	p a ³³ + d ɛ ⁵⁵	pa³³dɛ⁵⁵		
1929	ɣ i ɦ.¹¹	235	2814	rattan	NorthernPwo	ɣi¹¹̈	ɣ i ɦ.¹¹	ɣi¹¹ ̈		
1930	b au.ʔ ⁴⁵	236	2825	reach into	NorthernPwo	bauɁ⁴⁵	b au.ʔ ⁴⁵	bauɁ⁴⁵		
1931	tʰ au.ʔ ⁴⁵	237	2836	resin	NorthernPwo	thauɁ⁴⁵	tʰ au.ʔ ⁴⁵	thauɁ⁴⁵		
1932	m ãi ⁵⁵	239	2858	ripe, cooked	NorthernPwo	mãi⁵⁵	m ãi ⁵⁵	mãi⁵⁵		
1933	ɣ ei ɦ.¹¹	241	2882	root	NorthernPwo	ɣei¹¹̈	ɣ ei ɦ.¹¹	ɣei¹¹ ̈		
1934	tʰ au.ʔ ⁴⁵	243	2901	rub, clean, polish, scrub	NorthernPwo	thauɁ⁴⁵	tʰ au.ʔ ⁴⁵	thauɁ⁴⁵		
1935	cʰ ɑ̃ ³⁵	245	2922	salty, sweet	NorthernPwo	chɑ̃³⁵	cʰ ɑ̃ ³⁵	chɑ̃³⁵		
1936	m e.ʔ ⁴⁵	246	2934	sand	NorthernPwo	meɁ⁴⁵	m e.ʔ ⁴⁵	meɁ⁴⁵		
1937	cʰ a ³⁵	248	2953	sell	NorthernPwo	cha³⁵	cʰ a ³⁵	cha³⁵		
1938	n.w ɛ ⁵⁵	250	2973	seven	NorthernPwo	nwɛ⁵⁵	n.w ɛ ⁵⁵	nwɛ⁵⁵		
1939	cʰ a.ʔ ⁴⁵	251	2986	sew	NorthernPwo	chaɁ⁴⁵	cʰ a.ʔ ⁴⁵	chaɁ⁴⁵		
1940	kʰ a.ʔ ⁴⁵	255	3034	shoot (v.)	NorthernPwo	khaɁ⁴⁵	kʰ a.ʔ ⁴⁵	khaɁ⁴⁵		
1941	pʰ əɨ ³³	256	3047	short, low	NorthernPwo	phəɨ³³	pʰ əɨ ³³	phəɨ³³		
1942	tʰ.!Ø/w ɑ̃ ³⁵	258	3067	shove (with the foot)	NorthernPwo	thɑ̃³⁵	tʰ.!Ø/w ɑ̃ ³⁵	thɑ̃³⁵		
1943	x ou ³⁵	259	3077	six	NorthernPwo	xou³⁵	x ou ³⁵	xou³⁵		
1944	pʰ.l e.ʔ ²¹	260	3088	skink	NorthernPwo	phleɁ²¹	pʰ.l e.ʔ ²¹	phleɁ²¹		
1945	pʰ.l i ³⁵	262	3113	slippery	NorthernPwo	phli³⁵	pʰ.l i ³⁵	phli³⁵		
1946	n ɑ̃ ³⁵	263	3125	smell (v.)	NorthernPwo	nɑ̃³⁵	n ɑ̃ ³⁵	nɑ̃³⁵		
1947	kʰ.l u ³³	264	3136	snail (land~)	NorthernPwo	khlu³³	kʰ.l u ³³	khlu³³		
1948	ɣ ou Ø/ɦ.¹¹	266	3154	snake	NorthernPwo	ɣou¹¹̈	ɣ ou Ø/ɦ.¹¹	ɣou¹¹ ̈		
1949	cʰ !ãi/ɛ̃ ³³	268	3179	sour	NorthernPwo	chãi³³	cʰ !ãi/ɛ̃ ³³	chãi³³		
1950	p u ¹¹ + kʰ ɛ̃ ⁵⁵	269	3194 3192	spider	NorthernPwo	pu¹¹khɛ⁵̃⁵	p u ¹¹ + kʰ ɛ̃ ⁵⁵	pu¹¹khɛ⁵̃ ⁵		
1951	tʰ u ³⁵	270	3205	spit (v.)	NorthernPwo	thu³⁵	tʰ u ³⁵	thu³⁵		
1952	m ɛ̃ ³⁵	271	3215	spleen	NorthernPwo	mɛ̃³⁵	m ɛ̃ ³⁵	mɛ̃³⁵		
1953	b.l a ³³	272	3227	split (bamboo strip)	NorthernPwo	bla³³	b.l a ³³	bla³³		
1954	pʰ.j u ⁵⁵	273	3236	spray (v.)	NorthernPwo	phju⁵⁵	pʰ.j u ⁵⁵	phju⁵⁵		
1955	d a ⁵⁵	274	3246	spread out (a mat)	NorthernPwo	da⁵⁵	d a ⁵⁵	da⁵⁵		
1956	cʰ ãi ɦ.¹¹	275	3259	squeeze, massage	NorthernPwo	chãi¹¹̈	cʰ ãi ɦ.¹¹	chãi¹¹ ̈		
1957	l ei ³³	276	3271	squirrel	NorthernPwo	lei³³	l ei ³³	lei³³		
1958	tʰ ɑ̃ ³³	277	3282	stand (v.)	NorthernPwo	thɑ̃³³	tʰ ɑ̃ ³³	thɑ̃³³		
1959	s.j a ³³	278	3295	star	NorthernPwo	sja³³	s.j a ³³	sja³³		
1960	pʰ ou ³⁵	281	3324	stomach	NorthernPwo	phou³⁵	pʰ ou ³⁵	phou³⁵		
1961	l ãu Ø/ɦ.¹¹	282	3338	stone, rock	NorthernPwo	lãu¹¹̈	l ãu Ø/ɦ.¹¹	lãu¹¹ ̈		
1962	pʰ.l ei ⁵⁵	283	3351	string, rope	NorthernPwo	phlei⁵⁵	pʰ.l ei ⁵⁵	phlei⁵⁵		
1963	m əɨ ɦ.¹¹	285	3375	sun	NorthernPwo	məɨ¹¹̈	m əɨ ɦ.¹¹	məɨ¹¹ ̈	sun	
1964	kʰ u Ø/ɦ.¹¹	286	3388	sunlight, hot	NorthernPwo	khu¹¹̈	kʰ u Ø/ɦ.¹¹	khu¹¹ ̈		
1965	tʰ u ³³	287	3402	sway, swing	NorthernPwo	thu³³	tʰ u ³³	thu³³		
1966	j o.ʔ ⁴⁵	288	3410	swollen, swelling	NorthernPwo	joɁ⁴⁵	j o.ʔ ⁴⁵	joɁ⁴⁵		
1967	m ɛ Ø/ɦ.¹¹	289	3423	tail	NorthernPwo	mɛ¹¹̈	m ɛ Ø/ɦ.¹¹	mɛ¹¹ ̈	tail	
1968	b.l a ⁵⁵	290	3436	tasteless, faded	NorthernPwo	bla⁵⁵	b.l a ⁵⁵	bla⁵⁵		
1969	cʰ ei ³⁵	291	3445	ten	NorthernPwo	chei³⁵	cʰ ei ³⁵	chei³⁵		
1970	tʰ.!Ø/w !ɔ̃/ɛ̃ ³³	292	3458	tendon	NorthernPwo	thɔ̃³³	tʰ.!Ø/w !ɔ̃/ɛ̃ ³³	thɔ̃³³		
1971	!p/pʰ a.ʔ ²¹ + ʔ ɔ̃ ⁵⁵	293	3466 3468	termite	NorthernPwo	paɁ²¹Ɂɔ̃⁵⁵	!p/pʰ a.ʔ ²¹ + ʔ ɔ̃ ⁵⁵	paɁ²¹Ɂɔ̃⁵⁵		
1972	pʰ ai Ø/ɦ.¹¹	294	3485	termite (winged~)	NorthernPwo	phai¹¹̈	pʰ ai Ø/ɦ.¹¹	phai¹¹ ̈		
1973	pʰ.l ãu !ɦ¹¹/³³	295	3500	termite mound	NorthernPwo	phlãu¹¹̈	pʰ.l ãu !ɦ¹¹/³³	phlãu¹¹ ̈		
1974	tʰ ou Ø/ɦ.¹¹	299	3545	thread (a needle)	NorthernPwo	thou¹¹̈	tʰ ou Ø/ɦ.¹¹	thou¹¹ ̈		
1975	s ɑ̃ ³⁵	300	3557	three	NorthernPwo	sɑ̃³⁵	s ɑ̃ ³⁵	sɑ̃³⁵		
1976	kʰ ei ³³	301	3570	tick	NorthernPwo	khei³³	kʰ ei ³³	khei³³		
1977	c ɑ̃ ⁵⁵	302	3581	tie (a string)	NorthernPwo	cɑ̃⁵⁵	c ɑ̃ ⁵⁵	cɑ̃⁵⁵		
1978	kʰ i ³⁵	303	3594	tiger	NorthernPwo	khi³⁵	kʰ i ³⁵	khi³⁵		
1979	kʰ ãi ³⁵	304	3607	tilted	NorthernPwo	khãi³⁵	kʰ ãi ³⁵	khãi³⁵		
1980	d i ³³ + s ou ³³	305	1498 3618	toad	NorthernPwo	di³³sou³³	d i ³³ + s ou ³³	di³³sou³³	frog toad	
1981	kʰ ɛ ¹¹ + ɣ ɔ ⁵⁵	306	3642 3643	tomorrow	NorthernPwo	khɛ¹¹ɣɔ⁵⁵	kʰ ɛ ¹¹ + ɣ ɔ ⁵⁵	khɛ¹¹ɣɔ⁵⁵	/khE tomorrow	
1982	p/pʰ.l i ⁵⁵	307	3654	tongue	NorthernPwo	pli⁵⁵	p/pʰ.l i ⁵⁵	pli⁵⁵		
1983	tʰ e.ʔ ²¹	308	3667	torn	NorthernPwo	theɁ²¹	tʰ e.ʔ ²¹	theɁ²¹		
1984	kʰ.l ai.ʔ ⁴⁵	309	3680	tortoise	NorthernPwo	khlaiɁ⁴⁵	kʰ.l ai.ʔ ⁴⁵	khlaiɁ⁴⁵		
1985	j !ãi/ã Ø/ɦ.¹¹	310	3693	tread	NorthernPwo	jãi¹¹̈	j !ãi/ã Ø/ɦ.¹¹	jãi¹¹ ̈	tread	
1986	m ɑ̃ ɦ.¹¹	311	3704	trunk (of a tree), firewood	NorthernPwo	mɑ̃¹¹̈	m ɑ̃ ɦ.¹¹	mɑ̃¹¹ ̈	firewood	
1987	m.l ɔ̃ ⁵⁵	312	3713	trunk (of an elephant)	NorthernPwo	mlɔ̃⁵⁵	m.l ɔ̃ ⁵⁵	mlɔ̃⁵⁵		
1988	kʰ ei ³⁵	313	3727	two	NorthernPwo	khei³⁵	kʰ ei ³⁵	khei³⁵		
1989	cʰ ei ³³	314	3740	urine	NorthernPwo	chei³³	cʰ ei ³³	chei³³		
1990	l ãi !Ø/ɦ.¹¹	315	3752	vagina	NorthernPwo	lãi¹¹	l ãi !Ø/ɦ.¹¹	lãi¹¹		
1991	p.j o.ʔ ⁴⁵	316	3763	vomit (v.)	NorthernPwo	pjoɁ⁴⁵	p.j o.ʔ ⁴⁵	pjoɁ⁴⁵		
1992	l ɛ̃ ³⁵ + k a.ʔ ²¹ + tʰ a.ʔ ²¹	317	3775 3777 3776	vulture	NorthernPwo	lɛ̃³⁵kaɁ²¹thaɁ²¹	l ɛ̃ ³⁵ + k a.ʔ ²¹ + tʰ a.ʔ ²¹	lɛ̃³⁵kaɁ²¹thaɁ²¹		
1993	j a ¹¹ + d i ⁵⁵	318	3804 2413	waist	NorthernPwo	ja¹¹_di⁵⁵	j a ¹¹ + d i ⁵⁵	ja¹¹ di⁵⁵	waist/ja navel	
1994	tʰ au.ʔ ⁴⁵	319	3831	wart	NorthernPwo	thauɁ⁴⁵	tʰ au.ʔ ⁴⁵	thauɁ⁴⁵		
1995	l !a/ã ⁵⁵	320	3818	warm	NorthernPwo	la⁵⁵	l !a/ã ⁵⁵	la⁵⁵		
1996	pʰ.l a Ø/ɦ.¹¹	321	3850	wash (the face)	NorthernPwo	phla¹¹̈	pʰ.l a Ø/ɦ.¹¹	phla¹¹ ̈	wash	
1997	tʰ ɑ̃ ¹¹ + d i ⁵⁵	323	3865 2413	wasp	NorthernPwo	thɑ̃¹¹_di⁵⁵	tʰ ɑ̃ ¹¹ + d i ⁵⁵	thɑ̃¹¹ di⁵⁵	wasp navel	
1998	tʰ ei ³⁵	324	3878	water	NorthernPwo	thei³⁵	tʰ ei ³⁵	thei³⁵		
1999	cʰ ãi ³⁵	325	3891	wear (a shoulder bag)	NorthernPwo	chãi³⁵	cʰ ãi ³⁵	chãi³⁵		
2000	tʰ a ³³	326	3916	weave (cloth), loom	NorthernPwo	tha³³	tʰ a ³³	tha³³		
2001	tʰ ãi ³⁵	327	3903	weave (baskets)	NorthernPwo	thãi³⁵	tʰ ãi ³⁵	thãi³⁵		
2002	ɣ ãu ¹¹	328	3928	weevil	NorthernPwo	ɣãu¹¹	ɣ ãu ¹¹	ɣãu¹¹		
2003	c ɔ ³³	329	3938	wet	NorthernPwo	cɔ³³	c ɔ ³³	cɔ³³		
2004	l ɛ Ø/ɦ.¹¹	331	3963	wide	NorthernPwo	lɛ¹¹̈	l ɛ Ø/ɦ.¹¹	lɛ¹¹ ̈		
2005	m a ³⁵	332	3977	wife	NorthernPwo	ma³⁵	m a ³⁵	ma³⁵		
2006	m ei ⁵⁵	333	316	wild	NorthernPwo	mei⁵⁵	m ei ⁵⁵	mei⁵⁵	wild	
2007	n ɑ̃ ⁵⁵	334	4002	win	NorthernPwo	nɑ̃⁵⁵	n ɑ̃ ⁵⁵	nɑ̃⁵⁵		
2008	d ai.ʔ ⁴⁵	335	4012	wing	NorthernPwo	daiɁ⁴⁵	d ai.ʔ ⁴⁵	daiɁ⁴⁵		
2009	n ɛ ³³	337	4039	yam, potato	NorthernPwo	nɛ³³	n ɛ ³³	nɛ³³		
2010	n ãi ³³	338	4051	year	NorthernPwo	nãi³³	n ãi ³³	nãi³³		
2011	b ɛ̃ ⁵⁵	339	4064	yellow	NorthernPwo	bɛ̃⁵⁵	b ɛ̃ ⁵⁵	bɛ̃⁵⁵		
2012	m ɛ Ø/ɦ.¹¹	340	4074	yes	NorthernPwo	mɛ¹¹̈	m ɛ Ø/ɦ.¹¹	mɛ¹¹ ̈		
2013	l !ə/u.ʔ ²¹	1	10	all, all gone, whole	NorthernSgaw	ləɁ²¹	l !ə/u.ʔ ²¹	(khɛ³³)ləɁ²¹		
2014	t ə ɦ.¹¹	2	21	ant	NorthernSgaw	tə¹¹̈	t ə ɦ.¹¹	tə¹¹ ̈		
2015	t ɨ ³³	3	33	arrive	NorthernSgaw	tɨ³³	t ɨ ³³	tɨ³³		
2016	p.l a Ø/ɦ.¹¹	4	46	arrow, dart	NorthernSgaw	pla¹¹̈	p.l a Ø/ɦ.¹¹	pla¹¹ ̈	arrow	
2017	tʰ ɔ̃ ³¹	5	59	ascend, go up, rise	NorthernSgaw	thɔ³¹῀	tʰ ɔ̃ ³¹	thɔ³¹῀		
2018	pʰ ã/a ³¹	6	72	ashes, fireplace	NorthernSgaw	pha³¹῀	pʰ ã/a ³¹	pha³¹῀		
2019	k i.ʔ ⁴⁵	7	81	astringent	NorthernSgaw	kiɁ⁴⁵	k i.ʔ ⁴⁵	kiɁ⁴⁵		
2020	w ã/a ³¹	8	91	bamboo	NorthernSgaw	wa³¹῀	w ã/a ³¹	wa³¹῀		
2021	kʰ !ɔ/ɔ̃ ³³	9	103	bamboo rat	NorthernSgaw	khɔ³³	kʰ !ɔ/ɔ̃ ³³	khɔ³³	bamboo-rat	
2022	ɕ.ɣ a ³³	10	126	bamboo strip	NorthernSgaw	ɕɣa³³	ɕ.ɣ a ³³	ɕɣa³³		
2023	b ɔ̃ ³¹	11	114	bamboo shoot	NorthernSgaw	bɔ³¹῀	b ɔ̃ ³¹	bɔ³¹῀		
2024	pʰ i.ʔ ⁴⁵	12	138	bark (n.), leather, skin	NorthernSgaw	phiɁ⁴⁵	pʰ i.ʔ ⁴⁵	phiɁ⁴⁵		
2025	b.l a ³³	13	149	bat	NorthernSgaw	bla³³	b.l a ³³	bla³³		
2026	l ɨ Ø/ɦ.¹¹	14	161	bathe	NorthernSgaw	lɨ¹¹̈_~_lu¹¹̈	l ɨ Ø/ɦ.¹¹	lɨ¹¹ ̈ ~ lu¹¹ ̈		
2027	x ɔ ³³	16	185	bedbug	NorthernSgaw	xɔ³³	x ɔ ³³	xɔ³³		
2028	k.w !ɛʔ/ɛ ⁴⁵	17	191	bee (Apis cerana)	NorthernSgaw	kwɛɁ⁴⁵	k.w !ɛʔ/ɛ ⁴⁵	kwɛɁ⁴⁵		
2029	k ə ¹¹ + n ɛ ³³	18	204 203	bee (Apis dorsata)	NorthernSgaw	kə¹¹nɛ³³	k ə ¹¹ + n ɛ ³³	kə¹¹nɛ³³		
2030	pʰ ɔ ³³ + l a.ʔ ²¹	20	226 224	below, under, underneath	NorthernSgaw	phɔ³³laɁ²¹	pʰ ɔ ³³ + l a.ʔ ²¹	phɔ³³laɁ²¹		
2031	d õ/o ³¹	21	242	big, large	NorthernSgaw	do³¹῀	d õ/o ³¹	do³¹῀		
2032	tʰ õ/o ³¹	22	253	bird	NorthernSgaw	tho³¹῀	tʰ õ/o ³¹	tho³¹῀		
2033	ʔ ẽ ³¹	23	264	bite (v.)	NorthernSgaw	Ɂe³¹῀	ʔ ẽ ³¹	Ɂe³¹῀		
2034	kʰ ã/a ³¹	24	275	bitter	NorthernSgaw	kha³¹῀	kʰ ã/a ³¹	kha³¹῀		
2035	s.w ĩ/i ³¹	25	288	blood	NorthernSgaw	swi³¹῀	s.w ĩ/i ³¹	(ta¹¹)swi³¹῀		
2036	ʔ u ³³	26	302	blow (a fire)	NorthernSgaw	Ɂu³³	ʔ u ³³	Ɂu³³		
2037	tʰ ɔ.ʔ ⁴⁵ + m i ³³	27	315 316	boar (wild~)	NorthernSgaw	thɔɁ⁴⁵mi³³	tʰ ɔ.ʔ ⁴⁵ + m i ³³	thɔɁ⁴⁵mi³³	pig wild	
2038	kʰ.l i ³³	28	336	boat	NorthernSgaw	khli³³	kʰ.l i ³³	khli³³	boat	
2039	x ĩ/i ³¹	29	348	body dirt	NorthernSgaw	xi³¹῀	x ĩ/i ³¹	xi³¹῀		
2040	kʰ.l ɔ ³³	30	360	boil (v.)	NorthernSgaw	khlɔ³³	kʰ.l ɔ ³³	khlɔ³³		
2041	x i ³³	31	370	bone	NorthernSgaw	xi³³	x i ³³	xi³³		
2042	s ĩ/i ³¹	32	383	braid	NorthernSgaw	si³¹῀	s ĩ/i ³¹	si³¹῀		
2043	kʰ o ³¹ + n u.ʔ ²¹	33	17 394	brain	NorthernSgaw	nuɁ²¹	kʰ o ³¹ + n u.ʔ ²¹	(kho³¹῀)nuɁ²¹		
2044	pʰ e ³³	34	408	bran,chaff	NorthernSgaw	phe³³	pʰ e ³³	phe³³		
2045	n u ɦ.¹¹	35	420	breasts	NorthernSgaw	nu¹¹̈	n u ɦ.¹¹	nu¹¹ ̈		
2046	pʰ a.ʔ ⁴⁵	36	431	broken, split, separate	NorthernSgaw	phaɁ⁴⁵	pʰ a.ʔ ⁴⁵	phaɁ⁴⁵		
2047	p ə ³³ + n a Ø/ɦ.¹¹	37	444 445	buffalo	NorthernSgaw	pə³³na¹¹̈	p ə ³³ + n a Ø/ɦ.¹¹	pə³³na¹¹ ̈		
2048	p.ɣ e ³³	38	469	buy	NorthernSgaw	pə¹¹ɣe³³	p.ɣ e ³³	pə¹¹ɣe³³~pɣe³³		re-segmentation of a morpheme, multiple morphemes for one
2049	pʰ.ɣ u ³³	39	495	caress	NorthernSgaw	phɣu³³	pʰ.ɣ u ³³	phɣu³³		
2050	s i.ʔ ⁴⁵	41	514	caterpillar	NorthernSgaw	siɁ⁴⁵	s i.ʔ ⁴⁵	siɁ⁴⁵		
2051	k ɨ.ʔ ⁴⁵	43	483	carapace, shell	NorthernSgaw	kɨɁ⁴⁵	k ɨ.ʔ ⁴⁵	kɨɁ⁴⁵		
2052	d a.ʔ ⁴⁵ + b !ɔ/ɔ̃ ³³	44	537 538	centipede	NorthernSgaw	daɁ⁴⁵bɔ³³	d a.ʔ ⁴⁵ + b !ɔ/ɔ̃ ³³	daɁ⁴⁵bɔ³³		
2053	kʰ.w ĩ/i ³¹	45	555	chameleon	NorthernSgaw	khwi³¹῀	kʰ.w ĩ/i ³¹	khwi³¹῀		
2054	s.w ã/a ³¹	46	567	charcoal	NorthernSgaw	swa³¹῀	s.w ã/a ³¹	swa³¹῀		
2055	cʰ ɔ ³³	47	579	chicken	NorthernSgaw	chɔ³³	cʰ ɔ ³³	chɔ³³	chicken	
2056	h ɛ ³³	48	592	chili pepper, pungent	NorthernSgaw	hɛ³³	h ɛ ³³	hɛ³³		
2057	kʰ ã/a ³¹	49	603	chin, jaw	NorthernSgaw	kha³¹῀	kʰ ã/a ³¹	kha³¹῀		
2058	j e ³³	50	616	cicada	NorthernSgaw	je³³	j e ³³	je³³, ze³³		
2059	z e ³³	50	617	cicada	NorthernSgaw	ze³³	z e ³³	je³³, ze³³		
2060	s ĩ/i ³¹	52	646	classifier (hand of bananas)	NorthernSgaw	si³¹῀	s ĩ/i ³¹	si³¹῀		
2061	b ẽ/e ³¹	53	666	classifier for flat objects	NorthernSgaw	be³¹῀	b ẽ/e ³¹	be³¹῀		
2062	p.ɣ a ³³	54	696	classifier for people, persons	NorthernSgaw	pɣa³³	p.ɣ a ³³	pɣa³³		
2063	!Ø/b.l õ ³¹	55	656	classifier for a piece of meat, cake, etc.	NorthernSgaw	lo³¹῀	!Ø/b.l õ ³¹	lo³¹῀		
2064	kʰ õ/o ³¹	56	709	classifier for plants, e.g. bamboo, rice, banana etc. (clumps, clusters)	NorthernSgaw	kho³¹῀	kʰ õ/o ³¹	kho³¹῀		
2065	pʰ.l ə̃ ³¹	57	634	classfier for round objects	NorthernSgaw	phlə³¹῀	pʰ.l ə̃ ³¹	phlə³¹῀		
2066	b o ³³	58	686	classifier for long objects	NorthernSgaw	bo³³	b o ³³	bo³³	neck-classifier	
2067	d ɨ ³³	59	677	classifier for four-legged animals	NorthernSgaw	dɨ³³	d ɨ ³³	dɨ³³		
2068	b ĩ ³¹	60	716	close (one’s eyes)	NorthernSgaw	bi³¹῀	b ĩ ³¹	bi³¹῀		
2069	kʰ.w i ³³	61	725	comb (v.)	NorthernSgaw	khwi³³	kʰ.w i ³³	khwi³³		
2070	l ɨ̃/ɨ ³¹	62	737	cotton thread	NorthernSgaw	lɨ³¹῀	l ɨ̃/ɨ ³¹	lɨ³¹῀		
2071	!k/kʰ u.ʔ ⁴⁵	63	750	cough (v.)	NorthernSgaw	kuɁ⁴⁵	!k/kʰ u.ʔ ⁴⁵	kuɁ⁴⁵		
2072	cʰ.w ɛ̃/ɛ ³¹	64	763	crab	NorthernSgaw	chwɛ³¹῀	cʰ.w ɛ̃/ɛ ³¹	chwɛ³¹῀		
2073	s ə ¹¹ + k i ³³	65	777 776	cricket	NorthernSgaw	sə¹¹ki³³	s ə ¹¹ + k i ³³	sə¹¹ki³³		
2074	s ə ³³ + m ã/a ³¹	66	789 788	crocodile	NorthernSgaw	sə³³ma³¹῀	s ə ³³ + m ã/a ³¹	sə³³ma³¹῀		
2075	k ə ¹¹ + n i ³³	67	800 801	crop (of fowl), gizzard	NorthernSgaw	kə¹¹ni³³	k ə ¹¹ + n i ³³	kə¹¹ni³³		
2076	kʰ ɔ ³³	68	815	cross (v.)	NorthernSgaw	khɔ³³	kʰ ɔ ³³	khɔ³³		
2077	kʰ.l ĩ/i ³¹	69	823	crossbow	NorthernSgaw	khli³¹῀	kʰ.l ĩ/i ³¹	khli³¹῀		
2078	ʔ ɔ̃/ɔ ³¹ + ʔ o ³³	70	836 835	crow (v.)	NorthernSgaw	Ɂɔ³¹῀_Ɂo³³	ʔ ɔ̃/ɔ ³¹ + ʔ o ³³	Ɂɔ³¹῀ Ɂo³³		
2079	n õ ³¹	71	848	crush (v.)	NorthernSgaw	no³¹῀	n õ ³¹	no³¹῀		
2080	d i ³³	72	859	cucumber	NorthernSgaw	di³³	d i ³³	di³³		
2081	kʰ i.ʔ ⁴⁵	73	870	dark, late evening	NorthernSgaw	khiɁ⁴⁵	kʰ i.ʔ ⁴⁵	khiɁ⁴⁵		
